Last module: decoder.final_layer_norm
Model Len: 219
Per-module activation-GB to execution-time throughput (GB/s):
decoder.layers.11.self_attn_layer_norm, LayerNorm: time=0.000016s, act=0.0157GB, throughput=980.537313GB/s
decoder.layers.17.self_attn_layer_norm, LayerNorm: time=0.000016s, act=0.0157GB, throughput=980.537313GB/s
decoder.layers.17.self_attn.out_proj, Linear: time=0.000090s, act=0.0864GB, throughput=958.984375GB/s
decoder.layers.5.self_attn_layer_norm, LayerNorm: time=0.000016s, act=0.0157GB, throughput=952.115942GB/s
decoder.layers.17.final_layer_norm, LayerNorm: time=0.000016s, act=0.0157GB, throughput=952.115942GB/s
decoder.layers.22.final_layer_norm, LayerNorm: time=0.000016s, act=0.0157GB, throughput=952.115942GB/s
decoder.layers.12.final_layer_norm, LayerNorm: time=0.000017s, act=0.0157GB, throughput=938.514286GB/s
decoder.layers.20.self_attn_layer_norm, LayerNorm: time=0.000017s, act=0.0157GB, throughput=938.514286GB/s
decoder.layers.20.final_layer_norm, LayerNorm: time=0.000017s, act=0.0157GB, throughput=938.514286GB/s
decoder.layers.13.self_attn.out_proj, Linear: time=0.000093s, act=0.0864GB, throughput=927.099984GB/s
decoder.layers.1.activation_fn, ReLU: time=0.000067s, act=0.0625GB, throughput=926.303887GB/s
decoder.layers.8.self_attn_layer_norm, LayerNorm: time=0.000017s, act=0.0157GB, throughput=925.295775GB/s
decoder.layers.8.final_layer_norm, LayerNorm: time=0.000017s, act=0.0157GB, throughput=925.295775GB/s
decoder.layers.13.final_layer_norm, LayerNorm: time=0.000017s, act=0.0157GB, throughput=925.295775GB/s
decoder.layers.21.final_layer_norm, LayerNorm: time=0.000017s, act=0.0157GB, throughput=925.295775GB/s
decoder.layers.4.activation_fn, ReLU: time=0.000068s, act=0.0625GB, throughput=919.803509GB/s
decoder.layers.12.self_attn_layer_norm, LayerNorm: time=0.000017s, act=0.0157GB, throughput=912.444444GB/s
decoder.layers.23.self_attn_layer_norm, LayerNorm: time=0.000017s, act=0.0157GB, throughput=912.444444GB/s
decoder.layers.6.self_attn.out_proj, Linear: time=0.000095s, act=0.0864GB, throughput=908.511513GB/s
decoder.layers.7.final_layer_norm, LayerNorm: time=0.000017s, act=0.0157GB, throughput=899.945205GB/s
decoder.layers.20.activation_fn, ReLU: time=0.000070s, act=0.0625GB, throughput=894.689420GB/s
decoder.layers.20.self_attn.out_proj, Linear: time=0.000098s, act=0.0864GB, throughput=881.985630GB/s
decoder.layers.1.self_attn.k_proj, Linear: time=0.000027s, act=0.0234GB, throughput=877.714286GB/s
decoder.layers.4.self_attn_layer_norm, LayerNorm: time=0.000018s, act=0.0157GB, throughput=875.946667GB/s
decoder.layers.4.final_layer_norm, LayerNorm: time=0.000018s, act=0.0157GB, throughput=875.946667GB/s
decoder.layers.9.final_layer_norm, LayerNorm: time=0.000018s, act=0.0157GB, throughput=875.946667GB/s
decoder.final_layer_norm, LayerNorm: time=0.000018s, act=0.0157GB, throughput=853.194805GB/s
decoder.layers.10.activation_fn, ReLU: time=0.000073s, act=0.0625GB, throughput=851.116883GB/s
decoder.layers.1.self_attn.q_proj, Linear: time=0.000028s, act=0.0234GB, throughput=847.448276GB/s
decoder.layers.2.self_attn.out_proj, Linear: time=0.000102s, act=0.0864GB, throughput=846.953490GB/s
decoder.layers.6.self_attn_layer_norm, LayerNorm: time=0.000019s, act=0.0157GB, throughput=842.256410GB/s
decoder.layers.15.self_attn_layer_norm, LayerNorm: time=0.000019s, act=0.0157GB, throughput=831.594937GB/s
decoder.layers.6.activation_fn, ReLU: time=0.000077s, act=0.0625GB, throughput=814.111801GB/s
decoder.layers.3.self_attn_layer_norm, LayerNorm: time=0.000019s, act=0.0157GB, throughput=811.061728GB/s
decoder.layers.18.self_attn.out_proj, Linear: time=0.000108s, act=0.0864GB, throughput=798.449546GB/s
decoder.layers.15.fc1, Linear: time=0.000060s, act=0.0469GB, throughput=786.432000GB/s
decoder.layers.6.final_layer_norm, LayerNorm: time=0.000020s, act=0.0157GB, throughput=782.095238GB/s
decoder.layers.14.self_attn_layer_norm, LayerNorm: time=0.000020s, act=0.0157GB, throughput=782.095238GB/s
decoder.layers.23.fc1, Linear: time=0.000060s, act=0.0469GB, throughput=777.106719GB/s
decoder.layers.12.fc1, Linear: time=0.000061s, act=0.0469GB, throughput=774.047244GB/s
decoder.layers.16.final_layer_norm, LayerNorm: time=0.000020s, act=0.0157GB, throughput=772.894118GB/s
decoder.layers.10.fc1, Linear: time=0.000061s, act=0.0469GB, throughput=765.011673GB/s
decoder.layers.14.final_layer_norm, LayerNorm: time=0.000021s, act=0.0157GB, throughput=763.906977GB/s
decoder.layers.2.self_attn_layer_norm, LayerNorm: time=0.000021s, act=0.0157GB, throughput=755.126437GB/s
decoder.layers.15.activation_fn, ReLU: time=0.000083s, act=0.0625GB, throughput=751.128940GB/s
decoder.layers.11.fc1, Linear: time=0.000063s, act=0.0469GB, throughput=739.127820GB/s
decoder.layers.14.fc1, Linear: time=0.000063s, act=0.0469GB, throughput=739.127820GB/s
decoder.layers.2.final_layer_norm, LayerNorm: time=0.000021s, act=0.0157GB, throughput=738.157303GB/s
decoder.layers.18.fc1, Linear: time=0.000064s, act=0.0469GB, throughput=736.359551GB/s
decoder.layers.21.fc1, Linear: time=0.000064s, act=0.0469GB, throughput=736.359551GB/s
decoder.layers.20.fc1, Linear: time=0.000064s, act=0.0469GB, throughput=728.177778GB/s
decoder.layers.3.fc1, Linear: time=0.000066s, act=0.0469GB, throughput=712.347826GB/s
decoder.layers.6.fc1, Linear: time=0.000067s, act=0.0469GB, throughput=702.171429GB/s
decoder.layers.19.fc1, Linear: time=0.000067s, act=0.0469GB, throughput=697.191489GB/s
decoder.layers.4.fc1, Linear: time=0.000069s, act=0.0469GB, throughput=682.666667GB/s
decoder.layers.5.fc1, Linear: time=0.000069s, act=0.0469GB, throughput=682.666667GB/s
decoder.layers.22.fc1, Linear: time=0.000069s, act=0.0469GB, throughput=680.304498GB/s
decoder.layers.16.fc1, Linear: time=0.000070s, act=0.0469GB, throughput=673.315068GB/s
decoder.layers.5.final_layer_norm, LayerNorm: time=0.000023s, act=0.0157GB, throughput=670.367347GB/s
decoder.layers.7.fc1, Linear: time=0.000070s, act=0.0469GB, throughput=668.734694GB/s
decoder.layers.2.fc1, Linear: time=0.000071s, act=0.0469GB, throughput=664.216216GB/s
decoder.layers.17.fc1, Linear: time=0.000071s, act=0.0469GB, throughput=659.758389GB/s
decoder.layers.3.final_layer_norm, LayerNorm: time=0.000024s, act=0.0157GB, throughput=656.960000GB/s
decoder.layers.1.final_layer_norm, LayerNorm: time=0.000024s, act=0.0157GB, throughput=650.455446GB/s
decoder.layers.13.fc1, Linear: time=0.000083s, act=0.0469GB, throughput=563.346705GB/s
decoder.layers.8.fc1, Linear: time=0.000093s, act=0.0469GB, throughput=506.721649GB/s
decoder.layers.1.fc1, Linear: time=0.000100s, act=0.0469GB, throughput=467.002375GB/s
decoder.layers.9.fc1, Linear: time=0.000102s, act=0.0469GB, throughput=459.364486GB/s
decoder.layers.0.self_attn.k_proj, Linear: time=0.000062s, act=0.0234GB, throughput=376.643678GB/s
decoder.layers.1.self_attn_layer_norm, LayerNorm: time=0.000047s, act=0.0157GB, throughput=330.130653GB/s
decoder.layers.0.self_attn.v_proj, Linear: time=0.000078s, act=0.0234GB, throughput=298.796353GB/s
decoder.layers.0.final_layer_norm, LayerNorm: time=0.000057s, act=0.0157GB, throughput=272.597510GB/s
decoder.layers.0.fc1, Linear: time=0.001995s, act=0.0469GB, throughput=23.492412GB/s
decoder.layers.0.self_attn_layer_norm, LayerNorm: time=0.002465s, act=0.0157GB, throughput=6.352964GB/s
decoder.layers.0.activation_fn, ReLU: time=0.014799s, act=0.0625GB, throughput=4.223225GB/s
decoder.layers.0.self_attn.q_proj, Linear: time=0.095220s, act=0.0234GB, throughput=0.246142GB/s
decoder.embed_positions, OPTLearnedPositionalEmbedding: time=0.000448s, act=0.0000GB, throughput=0.068049GB/s
decoder.embed_tokens, Embedding: time=0.058643s, act=0.0000GB, throughput=0.000520GB/s
None, None: time=0.000000s, act=1.7416GB, throughput=0.000000GB/s

Outlier modules (IQR method):
decoder.layers.1.fc2: throughput=3419.269565GB/s (upper bound: 2589.752889GB/s)
decoder.layers.2.fc2: throughput=5041.230769GB/s (upper bound: 2589.752889GB/s)
decoder.layers.3.fc2: throughput=6241.523810GB/s (upper bound: 2589.752889GB/s)
decoder.layers.4.fc2: throughput=5868.895522GB/s (upper bound: 2589.752889GB/s)
decoder.layers.5.fc2: throughput=6446.163934GB/s (upper bound: 2589.752889GB/s)
decoder.layers.6.fc2: throughput=6241.523810GB/s (upper bound: 2589.752889GB/s)
decoder.layers.7.fc2: throughput=6342.193548GB/s (upper bound: 2589.752889GB/s)
decoder.layers.8.fc2: throughput=5461.333333GB/s (upper bound: 2589.752889GB/s)
decoder.layers.9.fc2: throughput=6049.476923GB/s (upper bound: 2589.752889GB/s)
decoder.layers.10.fc2: throughput=2693.260274GB/s (upper bound: 2589.752889GB/s)
decoder.layers.11.fc2: throughput=6779.586207GB/s (upper bound: 2589.752889GB/s)
decoder.layers.12.fc2: throughput=6664.677966GB/s (upper bound: 2589.752889GB/s)
decoder.layers.13.fc2: throughput=5313.729730GB/s (upper bound: 2589.752889GB/s)
decoder.layers.14.fc2: throughput=6049.476923GB/s (upper bound: 2589.752889GB/s)
decoder.layers.15.fc2: throughput=5617.371429GB/s (upper bound: 2589.752889GB/s)
decoder.layers.16.fc2: throughput=6049.476923GB/s (upper bound: 2589.752889GB/s)
decoder.layers.17.fc2: throughput=6241.523810GB/s (upper bound: 2589.752889GB/s)
decoder.layers.18.fc2: throughput=5868.895522GB/s (upper bound: 2589.752889GB/s)
decoder.layers.19.fc2: throughput=6446.163934GB/s (upper bound: 2589.752889GB/s)
decoder.layers.20.fc2: throughput=4915.200000GB/s (upper bound: 2589.752889GB/s)
decoder.layers.21.fc2: throughput=5957.818182GB/s (upper bound: 2589.752889GB/s)
decoder.layers.22.fc2: throughput=5461.333333GB/s (upper bound: 2589.752889GB/s)
decoder.layers.23.fc2: throughput=6664.677966GB/s (upper bound: 2589.752889GB/s)
